,Camera,Radar,Fusion
11,42.25282331494844,42.10264587402344,42.10264587402344
12,42.25282331494844,42.10264587402344,42.10264587402344
13,42.25002331494843,42.10264587402344,42.10264587402344
14,42.25002331494843,42.10264587402344,42.10264587402344
15,39.55002748737577,40.5327262878418,40.041376887608784
16,42.25002331494843,42.10264587402344,42.10264587402344
17,42.25282331494844,42.10264587402344,42.10264587402344
18,42.25002331494843,42.10264587402344,42.10264587402344
19,40.85512546635628,40.90887451171875,40.88199998903751
20,40.85512546635628,40.90887451171875,40.88199998903751
21,38.31659409539412,39.743446350097656,39.03002022274589
22,38.30893527186472,39.743446350097656,39.02619081098119
23,32.21326880508502,27.586210250854492,27.586210250854492
24,28.38811584452004,27.586210250854492,27.586210250854492
25,26.462881030904192,27.586210250854492,27.024545640879342
26,27.722871851378297,27.586210250854492,27.586210250854492
27,32.21109880508503,27.586210250854492,27.586210250854492
28,37.14372261152571,38.97792434692383,38.060823479224766
29,39.52898506313335,39.743446350097656,39.6362157066155
30,46.99843022440711,45.634151458740234,45.634151458740234
31,52.917702792136026,45.634151458740234,45.634151458740234
32,66.70040545016992,45.634151458740234,45.634151458740234
33,70.32743246544204,45.634151458740234,45.634151458740234
34,70.32743246544204,45.634151458740234,45.634151458740234
35,66.69172545016993,45.634151458740234,45.634151458740234
36,60.41975878742736,45.634151458740234,45.634151458740234
37,57.700364586234855,45.634151458740234,45.634151458740234
38,50.80062546013077,45.634151458740234,45.634151458740234
39,57.700364586234855,45.634151458740234,45.634151458740234
40,55.196736568475046,45.634151458740234,45.634151458740234
41,55.196736568475046,45.634151458740234,45.634151458740234
42,57.692816760147885,45.634151458740234,45.634151458740234
43,55.19311990180837,45.634151458740234,45.634151458740234
44,55.19311990180837,45.634151458740234,45.634151458740234
45,57.692816760147885,45.634151458740234,45.634151458740234
46,55.17865323514171,45.634151458740234,45.634151458740234
47,57.68149502101746,45.634151458740234,45.634151458740234
48,50.77725622936154,45.634151458740234,45.634151458740234
49,57.670173281887024,45.634151458740234,45.634151458740234
50,57.66639936884354,45.634151458740234,45.634151458740234
51,57.66639936884354,45.634151458740234,45.634151458740234
52,57.670173281887024,45.634151458740234,45.634151458740234
53,50.743871613976914,45.634151458740234,45.634151458740234
54,50.743871613976914,45.634151458740234,45.634151458740234
55,55.16780323514171,45.634151458740234,45.634151458740234
56,55.16418656847504,45.634151458740234,45.634151458740234
57,52.86215079213602,45.634151458740234,45.634151458740234
58,52.85867879213602,45.634151458740234,45.634151458740234
59,52.86215079213602,45.634151458740234,45.634151458740234
60,52.86215079213602,45.634151458740234,45.634151458740234
61,50.7371946909,45.634151458740234,45.634151458740234
62,48.77285756012591,45.634151458740234,45.634151458740234
63,48.77285756012591,45.634151458740234,45.634151458740234
64,48.769642745311096,45.634151458740234,45.634151458740234
65,48.76642793049628,45.634151458740234,45.634151458740234
66,50.73051776782307,45.634151458740234,45.634151458740234
67,50.73051776782307,45.634151458740234,45.634151458740234
68,48.76321311568146,45.634151458740234,45.634151458740234
69,46.93953022440711,45.634151458740234,45.634151458740234
70,46.93643022440711,45.634151458740234,45.634151458740234
71,45.2386254635656,45.24424362182617,45.241434542695885
72,45.2386254635656,45.24424362182617,45.241434542695885
73,45.2386254635656,45.24424362182617,45.241434542695885
74,45.2386254635656,45.24424362182617,45.241434542695885
75,45.2386254635656,45.24424362182617,45.241434542695885
76,45.24461167046215,45.24424362182617,45.24424362182617
77,45.23563236011732,45.24424362182617,45.23993799097175
78,45.23563236011732,45.24424362182617,45.23993799097175
79,45.22964615322077,45.24424362182617,45.23694488752347
80,43.642434353446724,43.67694091796875,43.65968763570774
81,45.22365994632422,45.24424362182617,45.233951784075195
82,45.22665304977249,45.24424362182617,45.23544833579933
83,45.22365994632422,45.24424362182617,45.233951784075195
84,45.22365994632422,45.24424362182617,45.233951784075195
85,43.6395410201134,43.67694091796875,43.658240969041074
86,42.15482331494843,42.10264587402344,42.10264587402344
87,42.15482331494843,42.10264587402344,42.10264587402344
88,43.6395410201134,43.67694091796875,43.658240969041074
89,43.6395410201134,43.67694091796875,43.658240969041074
90,43.6395410201134,43.67694091796875,43.658240969041074
91,45.21468063597939,45.24424362182617,45.22946212890278
92,43.633754353446726,43.67694091796875,43.65534763570774
93,43.6308610201134,43.67694091796875,43.653900969041075
94,42.149223314948436,42.10264587402344,42.10264587402344
95,40.754762966356274,40.90887451171875,40.831818739037516
96,42.140823314948435,42.10264587402344,42.10264587402344
97,42.14642331494843,42.10264587402344,42.10264587402344
98,43.62796768678006,43.67694091796875,43.65245430237441
99,40.754762966356274,40.90887451171875,40.831818739037516
100,42.149223314948436,42.10264587402344,42.10264587402344
101,42.14642331494843,42.10264587402344,42.10264587402344
102,40.754762966356274,40.90887451171875,40.831818739037516
103,39.45007597222425,39.743446350097656,39.596761161160956
104,39.447445669193954,39.743446350097656,39.595446009645805
105,38.217029389511765,38.180763244628906,38.180763244628906
106,39.444815366163645,39.743446350097656,39.594130858130654
107,39.447445669193954,39.743446350097656,39.595446009645805
108,39.444815366163645,39.743446350097656,39.594130858130654
109,38.217029389511765,38.180763244628906,38.180763244628906
110,38.217029389511765,38.180763244628906,38.180763244628906
111,38.217029389511765,38.180763244628906,38.180763244628906
112,38.22213527186471,38.180763244628906,38.180763244628906
113,38.214476448335304,38.180763244628906,38.180763244628906
114,38.217029389511765,38.180763244628906,38.180763244628906
115,38.217029389511765,38.180763244628906,38.180763244628906
116,38.217029389511765,38.180763244628906,38.180763244628906
117,37.059402611525705,36.600250244140625,36.600250244140625
118,37.056922611525714,36.600250244140625,36.600250244140625
119,37.056922611525714,36.600250244140625,36.600250244140625
120,37.056922611525714,36.600250244140625,36.600250244140625
121,39.444815366163645,39.743446350097656,39.594130858130654
122,39.44218506313335,39.743446350097656,39.592815706615504
123,38.217029389511765,38.180763244628906,38.180763244628906
124,38.214476448335304,38.180763244628906,38.180763244628906
125,38.217029389511765,38.180763244628906,38.180763244628906
126,38.217029389511765,38.180763244628906,38.180763244628906
127,37.0519626115257,36.600250244140625,36.600250244140625
128,39.44218506313335,39.743446350097656,39.592815706615504
129,38.214476448335304,38.180763244628906,38.180763244628906
130,38.214476448335304,38.180763244628906,38.180763244628906
131,37.056922611525714,36.600250244140625,36.600250244140625
132,35.956443987872206,35.83332061767578,35.83332061767578
